t	Y	X1	X2	X3	X4
1	31,2	492,9	37,3	54,7	77,4
2	33,3	528,6	38,1	63,7	80,2
3	35,6	560,3	39,3	69,8	80,4
4	36,4	624,6	37,8	65,9	83,9
5	36,7	666,4	38,4	64,5	85,5
6	38,4	717,8	40,1	70	93,7
7	40,4	768,2	38,6	73,2	106,1
8	40,3	843,3	39,8	67,8	104,8
9	41,8	911,6	39,7	79,1	114
10	40,4	931,1	52,1	95,4	124,1
11	40,7	1021,5	48,9	94,2	127,6
12	40,1	1165,9	58,3	123,5	142,9
13	42,7	1349,6	57,9	129,9	143,6
14	44,1	1449,4	56,5	117,6	139,2
15	46,7	1575,5	63,7	130,9	165,5
16	50,6	1759,1	61,6	129,8	203,3
17	50,1	1994,2	58,9	128	219,6
18	51,7	2258,1	66,4	141	221,6
19	52,9	2478,7	70,4	168,2	232,6
